# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
156.778847295	0.640939828	3.754365848	3.702206408	14.206387678	14.014700972	68.874452880	67.945130285
157.753920718	0.644871973	3.755328050	3.702516453	14.209925170	14.015870210	68.891603110	67.950798910
158.729238790	0.648804118	3.756296413	3.702828428	14.213484833	14.017046652	68.908860830	67.956502458
159.704803063	0.652736268	3.757270940	3.703142333	14.217066687	14.018230300	68.926226130	67.962240940
160.680615083	0.656668413	3.758251633	3.703458173	14.220670752	14.019421157	68.943699118	67.968014373
161.656676400	0.660600558	3.759238495	3.703775945	14.224297047	14.020619225	68.961279878	67.973822765
162.632988565	0.664532703	3.760231535	3.704095650	14.227945594	14.021824507	68.978968518	67.979666133
163.609553128	0.668464850	3.761230758	3.704417290	14.231616413	14.023037006	68.996765133	67.985544488
164.586371640	0.672396998	3.762236170	3.704740863	14.235309525	14.024256725	69.014669833	67.991457843
165.563445660	0.676329143	3.763247770	3.705066373	14.239024952	14.025483666	69.032682718	67.997406225
166.540776743	0.680261288	3.764265568	3.705393823	14.242762716	14.026717834	69.050803890	68.003389628
167.518366443	0.684193438	3.765289565	3.705723205	14.246522839	14.027959230	69.069033463	68.009408083
168.496216313	0.688125583	3.766319773	3.706054525	14.250305343	14.029207858	69.087371548	68.015461598
169.474327915	0.692057728	3.767356188	3.706387790	14.254110251	14.030463720	69.105818243	68.021550183
170.452702810	0.695989873	3.768398818	3.706722993	14.257937586	14.031726822	69.124373673	68.027673868
171.431342560	0.699922020	3.769447673	3.707060133	14.261787371	14.032997164	69.143037945	68.033832655
172.410248725	0.703854168	3.770502753	3.707399213	14.265659631	14.034274752	69.161811175	68.040026570
173.389422868	0.707786313	3.771564065	3.707740240	14.269554389	14.035559588	69.180693478	68.046255625
174.368866550	0.711718458	3.772631615	3.708083210	14.273471670	14.036851675	69.199684973	68.052519838
175.348399775	0.715650603	3.773705405	3.708428118	14.277411498	14.038151018	69.218785785	68.058819223
176.328356103	0.719582753	3.774785443	3.708774978	14.281373899	14.039457619	69.237996033	68.065153798
177.308619538	0.723514898	3.775871733	3.709123780	14.285358898	14.040771483	69.257315835	68.071523585
